,location,job_title,company,summary
0,Thành phố Hồ Chí Minh,Customer Experience - Data Analyst,Shopee,"['Provide insights & data for daily execution.', 'Ability to draw insights from data, and design practical and scalable solutions.', 'Vietnam - Ho Chi Minh City.']"
1,Thành phố Hồ Chí Minh,Data Analyst - Retail Risk Management - Hồ Chí Minh - TA003,VPBank,['Data Analyst - Retail Risk Management - Hồ Chí Minh - TA Quản trị rủi ro Phân tích dữ liệu Data Analyst - Retail Risk Management - Hồ Chí Minh Data Analyst -…']
2,Thành phố Hồ Chí Minh,Junior Data Analyst,Intrepid Group,"['Participate in company projects in the role of data analysis from data preparation, analysis.', 'A junior data analytics position focused on development and…']"
3,Thành phố Hồ Chí Minh,Data Analyst (Based in HCMC),Amanotes,"['Engineering data systems that automate/facilitate data related processes.', 'Monitoring application performance, actively performing data analyses as any abnormal…']"
4,Thành phố Hồ Chí Minh,DATA ANALYST INTERN,PMAX Join Stock,"['Having experiences working with data analysis is a plus.', 'Working with real data in a real startup environment.', 'Kinh nghiệm/Kỹ năng chi tiết.']"
5,Thành phố Hồ Chí Minh,Customer Experience Recovery - Data Analyst,Shopee,"[""Manage CX Recovery team to receive & resolve Shopee's Issues related to Customers Experiences."", 'Allocate team members to execute the solutions and report line…']"
6,Thành phố Hồ Chí Minh,Seller Service - Data Analyst,Shopee,"['Gathers, interprets, and uses complex data to develop actionable steps that will improve processes and optimize results.', 'Knowledge in Python is a big plus).']"
7,Thành phố Hồ Chí Minh,Data Analyst,Yojee,"['Yojee is looking for a Data Analyst to dig deep into our master data set, create reports for both internal stakeholders and our growing user base, and create…']"
8,Thành phố Hồ Chí Minh,Finance Business Analyst,Shopee,"['\uf0b7 Bachelor degree in Data analyst or Finance, Accounting with proven big data experience.', '\uf0b7 Play as the key interface among local finance team, HQ Finance…']"
9,Việt Nam,Flash Sales Data Analyst,Lazada,"['Possess strong data processing skills to factor into flash sale performance optimization initiatives.', 'Strong commercial sense in terms of online products and…']"
